Per100k,Cases,Pop,IZ
 257, 11,4267,"Western Edge"
 131,  8,6075,"Ardler and St Marys"
 179, 10,5584,"Lochee"
 117,  5,4262,"Charleston"
 134,  6,4457,"Menzieshill"
 158,  6,3796,"Balgay"
 211, 10,4723,"Law"
 152, 10,6571,"West Pitkerro"
 135,  6,4433,"Barnhill"
 155,  8,5130,"Broughty Ferry West"
 139,  6,4306,"Craigie and  Craigiebank"
 155,  5,3218,"Baxter Park"
 137,  8,5807,"Stobswell"
 189,  9,4739,"Hilltown"
 101,  5,4918,"City Centre"
 144, 11,7637,"Perth Road"
  81,  3,3686,"Fairmuir"
  77,  5,6420,"Fintry"
  87,  5,5729,"Westend"
  62,  3,4838,"Downfield"
  56,  3,5295,"Linlathen and Midcraigie"
 108,  3,2763,"Douglas East"
  67,  3,4418,"Douglas West"
  54,  3,5486,"Docks and Wellgate"
  91,  3,3285,"Caird Park"
  96,  3,3121,"West Ferry"
  53,  3,5633,"Logie and Blackness"
  73,  3,4080,"Kirkton"
  49,  3,6098,"Whitfield"
  62,  3,4833,"The Glens"
