Per100k,Cases,Pop,IZ
 150,  5,3317,"Drumry East"
 149,  5,3354,"Drumchapel North"
 118,  3,2542,"Drumchapel South"
 382, 21,5485,"Blairdardie East"
 149, 10,6681,"Anniesland West"
 330, 14,4242,"Anniesland East"
  77,  3,3870,"Knightswood Park East"
 178,  6,3354,"Knightswood Park West"
 204,  8,3921,"Knightswood East"
 274,  7,2551,"Knightswood West"
 202,  6,2970,"Yoker North"
 205, 10,4856,"Yoker South"
 137,  5,3637,"Scotstoun South and West"
 133,  5,3742,"Whiteinch"
 157,  9,5717,"Kelvinside and Jordanhill"
 152,  7,4589,"Dowanhill"
 137,  8,5803,"Partickhill and Hyndland"
 198,  8,4024,"Partick"
 131,  7,5311,"Glasgow Harbour and Partick South"
 180, 15,8319,"Hillhead"
 122,  8,6546,"Kelvingrove and University"
 129,  8,6166,"Kelvindale"
 203,  7,3445,"Summerston North"
 290, 13,4481,"Summerston Central and West"
 345, 11,3185,"Milton East"
 374, 16,4275,"Milton West"
 195, 12,6123,"Possil Park"
 229, 17,7402,"Ruchill"
 308, 11,3569,"Woodside"
 257, 19,7387,"Woodlands"
 286, 16,5577,"Anderston"
 193, 11,5676,"City Centre West"
 228, 24,10486,"City Centre East"
 188, 12,6354,"Gallowgate North and Bellgrove"
 224, 10,4454,"Dennistoun"
 335, 16,4771,"Carntyne West and Haghill"
 764, 36,4707,"Dennistoun North"
 282, 17,6023,"Roystonhill, Blochairn, and Provanmill"
 333,  3, 900,"Sighthill"
 273, 11,4026,"Cowlairs and Port Dundas"
 144,  7,4850,"Springburn East and Cowlairs"
 220, 10,4539,"Springburn"
 249,  9,3611,"Petershill"
 164,  5,3048,"Barmulloch"
 174,  6,3439,"Balornock"
 409, 26,6352,"Robroyston and Millerston"
 369, 17,4601,"Blackhill and Barmulloch East"
 289, 17,5867,"Riddrie and Hogganfield"
 298, 17,5692,"Craigend and Ruchazie"
 167, 11,6554,"Cranhill, Lightburn and Queenslie South"
 371, 13,3504,"Carntyne"
 309, 15,4848,"Old Shettleston and Parkhead North"
 148,  6,4052,"Tollcross"
 104,  5,4772,"Shettleston North"
 447, 23,5139,"Greenfield"
 203, 10,4916,"Barlanark"
 151,  7,4631,"Garthamlock, Auchinlea and Gartloch"
 209,  5,2382,"Central Easterhouse"
 380, 12,3156,"Easterhouse East"
 263, 11,4177,"Garrowhill East and Swinton"
 195,  8,4096,"Garrowhill West"
 280, 20,7128,"Baillieston East"
 332, 12,3607,"Baillieston West"
 482, 17,3525,"Mount Vernon North and Sandyhills"
 341,  9,2632,"Carmyle and Mount Vernon South"
 236,  9,3810,"Shettleston South"
 105,  7,6652,"Braidfauld"
 194,  7,3596,"Parkhead East and Braidfauld North"
 415, 31,7465,"Parkhead West and Barrowfield"
 518, 20,3860,"Dalmarnock"
 265, 11,4147,"Bridgeton"
 108,  5,4602,"Calton and Gallowgate"
 113,  7,6156,"Laurieston and Tradeston"
 129,  8,6201,"Gorbals and Hutchesontown"
 278, 19,6814,"Toryglen and Oatlands"
 295, 13,4395,"Mount Florida"
 466, 19,4069,"Kingspark North"
 298, 12,4026,"Kingspark South"
 220, 11,4980,"Castlemilk"
 185,  8,4313,"Glenwood North"
 242, 12,4953,"Glenwood South"
 133,  5,3737,"Carmunnock South"
 174,  5,2871,"Carmunnock North"
 151,  7,4622,"Muirend and Old Cathcart"
 359, 19,5278,"Newlands"
 255,  8,3127,"Carnwadric East"
 307, 13,4228,"Carnwadric West"
 156,  7,4462,"Pollokshaws"
 174,  8,4573,"Langside"
 306, 11,3593,"Shawlands East"
 231,  9,3888,"Shawlands West"
 613, 36,5866,"Maxwell Park"
 152,  9,5917,"Strathbungo"
 197, 10,5074,"Battlefield"
 199,  9,4519,"Govanhill East and Aikenhead"
 362, 21,5793,"Govanhill West"
 397, 20,5037,"Pollokshields East"
 107,  5,4662,"Pollokshields West"
 192,  7,3637,"Kingston West and Dumbreck"
 179,  8,4448,"Kinning Park and Festival Park"
  82,  3,3640,"Ibrox"
 175,  9,5126,"Mosspark"
  85,  3,3516,"Craigton"
 263, 16,6065,"Govan and Linthouse"
 352, 22,6241,"Drumoyne and Shieldhall"
 170,  9,5279,"Penilee"
 213, 11,5162,"Cardonald West and Central"
 161,  7,4329,"Cardonald North"
 289, 17,5869,"Pollok North and East"
 394, 25,6341,"Pollok South and West"
 160,  5,3106,"Crookston North"
 147,  5,3380,"Crookston South"
 252, 16,6330,"Nitshill"
 329, 18,5461,"Darnley West"
 310, 11,3542,"Darnley North"
 117,  6,5104,"Darnley East"
  97,  3,3064,"Maryhill West"
  87,  3,3448,"Maryhill East"
  61,  3,4894,"Keppochhill"
  77,  5,6415,"Firhill"
  76,  3,3945,"City Centre South"
  83,  3,3581,"North Barlanark and Easterhouse South"
  92,  5,5411,"Cathcart"
  90,  3,3322,"Ibrox East and Cessnock"
  88,  3,3377,"Hillington"
  64,  3,4639,"Broomhill"
  69,  3,4306,"Wyndford"
 111,  3,2695,"Alexandra Parade"
  85,  3,3496,"Merrylee and Millbrae"
  93,  3,3192,"Cardonald South and East"
 100,  3,2975,"Blairdardie West"
  71,  3,4187,"North Kelvin"
  47,  5,10513,"Finnieston and Kelvinhaugh"
  84,  3,3542,"Drumry West"
  65,  3,4595,"Scotstoun North and East"
